Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,SSW,PIRATEN,AfD,Sonstige
INSA,BILD,O- 1.003,02.02.2022,,25%,28%,15%,12%,4%,3%,–,7%,FW 3 %
Infratest,NDR,TOM- 1.167,20.01.2022,,28%,23%,20%,10%,3%,4%,–,7%,5%
INSA,BILD,O- 1.001,24.11.2021,,21%,28%,18%,14%,4%,3%,–,7%,FW 2 %
Infratest,NDR,TOM- 1.220,28.05.2021,,28%,15%,27%,11%,4%,3%,–,6%,6%
INSA,BILD,TOM- 1.000,19.05.2021,,25%,21%,27%,11%,3%,3%,–,6%,FW 2 %
INSA,BILD,TOM- 1.002,25.11.2020,,33%,20%,24%,8%,3%,3%,–,6%,3%
INSA,BILD,TOM- 1.000,28.01.2020,,28%,20%,26%,9%,3%,3%,–,7%,4%
INSA,BILD,TOM- 1.002,08.02.2019,,30%,20%,22%,9%,5%,3%,–,7%,FW 1 %
Infratest,NDR,T- 1.002,20.04.2018,,34%,22%,18%,8%,6%,3%,–,6%,3%
Landtagswahl am 07.05.2017,,,,,32.00%,27.30%,12.90%,11.50%,3.80%,3.30%,1.20%,5.90%,2.30%
Forschungs-,ZDF,T- 1.814,04.05.2017,,32%,29%,12%,11%,4.50%,3%,–,6%,2.50%
INSA,BILD,T- 1.004,29.04.2017,,33%,29%,12%,10%,5%,4%,–,5%,2%
Infratest,ARD,T- 1.003,27.04.2017,,32%,31%,12%,8.50%,4.50%,3%,–,6%,3%
Forschungs-,ZDF,T- 1.001,27.04.2017,,32%,30%,12%,9%,5%,3%,–,6%,3%
Infratest,NDR,T- 1.002,20.04.2017,,31%,33%,12%,9%,4%,3%,–,5%,3%
Infratest,NDR,T- 1.002,06.04.2017,,30%,33%,12%,9%,4%,3%,–,7%,2%
Infratest,NDR,T- 1.000,16.03.2017,,27%,33%,14%,9%,4%,3%,–,7%,3%
Infratest,NDR,T- 1.001,09.12.2016,,34%,26%,15%,9%,5%,3%,–,6%,2%
INSA,BILD,T- 1.000,19.10.2016,,26%,31%,13%,12%,4%,4%,1%,6%,3%
Forsa,Lübecker und,T- 1.001,16.04.2016,,28%,28%,16%,9%,3%,4%,1%,9%,2%
Infratest,NDR,T- 1.002,31.10.2014,,34%,29%,15%,3%,5%,3%,2%,7%,2%
Infratest,NDR,T- 1.003,07.05.2013,,34%,31%,15%,6%,3%,4%,3%,–,4%
Landtagswahl am 06.05.2012,,,,,30.80%,30.40%,13.20%,8.20%,2.30%,4.60%,8.20%,,2.40%
GMS,Sat.1 Nord-,T- 1.002,02.05.2012,,32%,33%,12%,6%,2%,4%,8%,,3%
Forschungs-,ZDF,T- 1.003,27.04.2012,,31%,31%,12.50%,7%,2.50%,4%,9%,,3%
Infratest,ARD,T- 1.001,26.04.2012,,30%,32%,13%,6%,2.50%,4.50%,9%,,3%
Infratest,NDR,T- 1.000,19.04.2012,,31%,32%,13%,5%,2%,4%,10%,,3%
Infratest,NDR,T- 1.000,12.04.2012,,32%,32%,12%,4%,3%,4%,11%,,2%
Infratest,NDR,T- 1.000,29.03.2012,,34%,32%,15%,4%,4%,4%,5%,,2%
dimap,FDP-,T- 1.003,16.03.2012,,34%,33%,15%,4%,3%,4%,5%,,?
Forsa,CDU-,T- ?,05.03.2012,,35%,35%,13%,2%,3%,4%,5%,,?
Infratest,NDR,T- 1.000,17.02.2012,,33%,33%,16%,3%,3%,3%,5%,,4%
Emnid,FDP-,T- 1.000,20.01.2012,,34%,32%,15%,4%,3%,3%,7%,,2%
Forsa,sh:z,T- 1.002,18.11.2011,,33%,32%,17%,3%,3%,3%,6%,,3%
Infratest,NDR,T- 1.000,28.09.2011,,30%,34%,21%,3%,2%,3%,4%,,3%
Forsa,Lübecker,T- 752,17.08.2011,,30%,32%,19%,4%,4%,4%,–,,7%
Infratest,NDR,T- 1.000,17.05.2011,,33%,31%,22%,4%,2%,4%,1%,,3%
Forsa,Lübecker,T- 751,02.09.2010,,31%,31%,18%,7%,5%,5%,–,,3%
Infratest,NDR,T- 1.001,01.09.2010,,32%,32%,19%,5%,4%,4%,–,,4%
IfM,sh:z,T- 823,03.04.2010,,31%,22%,20%,12%,6%,4%,–,,5%
Landtagswahl am 27.09.2009,,,,,31.50%,25.40%,12.40%,14.90%,6.00%,4.30%,,,1.80%
GMS,Sat.1 Nord-,T- 1.006,21.09.2009,,31%,28%,13%,14%,6%,4%,,,4%
Forsa,Lübecker,T- 752,19.09.2009,,31%,26%,11%,16%,6%,5%,,,5%
Forschungs-,ZDF,T- 1.000,18.09.2009,,32%,27%,12%,14%,7%,4%,,,4%
Infratest,ARD,T- 1.000,16.09.2009,,33%,25%,13%,14%,6%,5%,,,4%
Infratest,NDR,T- 1.002,11.09.2009,,33%,24%,12%,15%,8%,4%,,,4%
Infratest,NDR,T- 1.003,04.09.2009,,33%,24%,14%,16%,7%,3%,,,3%
IfM,sh:z,T- 804,24.07.2009,,32%,23%,15%,17%,5%,4%,,,4%
Infratest,NDR,T- 1.007,18.07.2009,,36%,24%,14%,15%,5%,3%,,,3%
Psephos,Hamburger,T- 672,18.07.2009,,39%,25%,11%,14%,4%,4%,,,3%
Forsa,Lübecker,681,17.07.2009,,38%,27%,8%,14%,5%,4%,,,4%
Infratest,NDR,T- 1.000,15.05.2009,,37%,27%,11%,15%,4%,3%,,,3%
dimap,Centrum für,T- 1.008,26.02.2009,,38%,29%,9%,14%,3%,3%,,,4%
dimap,Centrum für,T- 1.005,11.12.2008,,40%,31%,10%,9%,4%,3%,,,3%
Emnid,CDU-LV/,T- 1.005,06.12.2007,,39%,31%,9%,10%,4%,3%,,,4 %
dimap,Centrum für,T- 1.000,19.11.2007,,40%,34%,9%,8%,4%,3%,,,2%
Psephos,Lübecker,T- 607,22.09.2007,,39%,35%,8%,7%,4%,4%,,,3%
Forsa,n-tv,T- 1.070,23.08.2007,,40%,32%,9%,8%,3%,4%,,,4%
dimap,FDP-LT-,T- 1.000,06.06.2007,,39%,33%,10%,9%,3%,3%,,,3%
IfM,sh:z,T- 1.000,31.03.2007,,38%,36%,10%,7%,2%,3%,,,4%
dimap,Flensburger,T- ~1.000,13.06.2006,,41%,33%,9%,8%,–,3%,,,6%
Infratest,NDR,T- 1.000,05.08.2005,,47%,30%,7%,7%,4%,3%,,,2%
Forsa,Lübecker,T- ?,24.03.2005,,51%,31%,5%,5%,–,3%,,,5%
Forsa,n-tv,T- 1.002,16.02.2005,,37%,40%,6%,7%,–,4%,,,6%
Universität,Uni Kiel,T- 750,15.02.2005,,37.30%,39.40%,10.60%,7.00%,1.20%,3.30%,,,NPD 1.2 %
Forschungs-,ZDF,T- 1.106,11.02.2005,,37%,40%,7%,7%,–,4%,,,3 %
Infratest,NDR,T- 1.000,10.02.2005,,36%,41%,7.50%,7%,–,3%,,,2.5 %
Infratest,NDR,T- 1.000,21.01.2005,,37%,40%,8%,7%,–,3%,,,5%
Infratest,NDR,T- 1.000,15.12.2004,,39%,38%,8%,7%,–,3%,,,5%
Infratest,NDR,T- 1.000,26.08.2004,,42%,31%,11%,7%,–,4%,,,5%
Forsa,Lübecker,,22.08.2004,,40%,32%,9%,8%,–,5%,,,6%
Forsa,Lübecker,,22.02.2004,,44%,33%,8%,8%,–,4%,,,3%
dimap,FDP,,17.12.2003,,48%,29%,9%,6%,–,4%,,,4%
Landtagswahl am 27.02.2000,,,,,35.20%,43.10%,6.20%,7.60%,1.40%,4.10%,,,
Infratest,R.SH ,T- ?,18.02.2000,,?,46%,4,?,–,4%,,,?
Infratest,NDR,T- 1.000,16.02.2000,,33%,45%,4.50%,9.50%,–,4%,,,4%
Forschungs-,ZDF,T- 1.003,04.02.2000,,34%,44%,8%,8%,–,4%,,,2%
Forsa,Lübecker,T- 1.000,02.02.2000,,40%,42%,4%,6%,–,3%,,,5%
Infratest,NDR,T- 1.000,02.02.2000,,34%,45%,5%,8%,–,4%,,,4%
Infratest,R.SH,T- ? ,28.01.2000,,37%,44%,5%,6%,–,3%,,,5%
Forsa,RTL,T- 1.008,26.01.2000,,39%,43%,5%,6%,–,3%,,,4%
Infratest,ARD,T- 1.001,20.01.2000,,35%,45%,5%,7%,–,–,,,8%
Forsa,Lübecker,T- 1.000,12.01.2000,,41%,43%,4%,5%,–,3%,,,4%
Infratest,R.SH,T- ≈1.000,18.12.1999,,43%,40%,?,?,–,–,,,?
Infratest,NDR,T- 1.000,15.12.1999,,42%,41%,5%,5%,–,3%,,,4%
Infratest,R.SH,,05.11.1999,,47%,37%,5%,4%,–,–,,,7%
Infratest,R.SH,,14.01.1999,,36%,46%,5%,5%,–,–,,,8%
Landtagswahl am 24.03.1996,,,,,37.20%,39.80%,8.10%,5.70%,–,2.50%,4.3 %
Infas,NDR,,26.02.1996 ,,35%,44%,9%,5%,–,1.50%,,,DVU 3.5 %
Infas,NDR,,01.12.1993 ,,30%,41%,12%,?,–,?,,,?
Landtagswahl am 05.04.1992,,,,,33.80%,46.20%,4.97%,5.60%,–,1.90%,6.3 %